id_mesure,id_temps,id_localisation,id_polluant,id_pays,date_complete,annee,mois,jour,semaine,trimestre,saison,id_station,nom_station,nom_ville,admin_name,nom_pays,eco_iso3,continent,latitude,longitude,population,code_polluant,nom_polluant,categorie,unite,impact_sante,valeur_pollution,PM25_EXPO_WB,GDP_PC_USD,URBAN_PCT,RENEWABLE_PCT,FOSSIL_PCT,POP_TOTAL,PM25_ABOVE_WHO,ELEC_COAL_PCT,CO2_PC
26,2374,4,1,1,2022-07-01,2022,7,1,26,3,Été,142,Chengdu,Chengdu,Sichuan,China,CHN,Asia,30.63,104.07,14645000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,29.991,,12970.6056,65.2176,,0.0,1412175000.0,,61.7187,8.8648
27,2739,4,1,1,2023-07-01,2023,7,1,26,3,Été,142,Chengdu,Chengdu,Sichuan,China,CHN,Asia,30.63,104.07,14645000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,23.0,,12951.1782,65.5301,,0.0,1410710000.0,,61.3408,9.2303
28,183,5,1,1,2016-07-01,2016,7,1,26,3,Été,143,Shanghai,Shanghai,Shanghai,China,CHN,Asia,31.21,121.44,24073000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,49.437,46.8325,8254.8686,58.8399,12.6,0.0,1387790000.0,99.9983,68.4177,7.7632
29,548,5,1,1,2017-07-01,2017,7,1,26,3,Été,143,Shanghai,Shanghai,Shanghai,China,CHN,Asia,31.21,121.44,24073000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,41.674,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
30,913,5,1,1,2018-07-01,2018,7,1,26,3,Été,143,Shanghai,Shanghai,Shanghai,China,CHN,Asia,31.21,121.44,24073000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,38.537,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
31,1278,5,1,1,2019-07-01,2019,7,1,27,3,Été,143,Shanghai,Shanghai,Shanghai,China,CHN,Asia,31.21,121.44,24073000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,34.115,37.5476,10342.901,62.7099,14.3,0.0,1407745000.0,,64.9687,8.3915
32,1644,5,1,1,2020-07-01,2020,7,1,27,3,Été,143,Shanghai,Shanghai,Shanghai,China,CHN,Asia,31.21,121.44,24073000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,44.469,34.8105,10627.4638,63.5234,14.9,0.0,1411100000.0,,63.455,8.4786
33,2009,5,1,1,2021-07-01,2021,7,1,26,3,Été,143,Shanghai,Shanghai,Shanghai,China,CHN,Asia,31.21,121.44,24073000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,32.035,,12887.4357,64.7211,15.2,0.0,1412360000.0,,63.001,8.8872
34,2374,5,1,1,2022-07-01,2022,7,1,26,3,Été,143,Shanghai,Shanghai,Shanghai,China,CHN,Asia,31.21,121.44,24073000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,24.82,,12970.6056,65.2176,,0.0,1412175000.0,,61.7187,8.8648
35,2739,5,1,1,2023-07-01,2023,7,1,26,3,Été,143,Shanghai,Shanghai,Shanghai,China,CHN,Asia,31.21,121.44,24073000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,31.23,,12951.1782,65.5301,,0.0,1410710000.0,,61.3408,9.2303
36,183,6,1,1,2016-07-01,2016,7,1,26,3,Été,144,Guangzhou,Guangzhou,Guangdong,China,CHN,Asia,23.12,113.32,26940000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,38.23,46.8325,8254.8686,58.8399,12.6,0.0,1387790000.0,99.9983,68.4177,7.7632
37,548,6,1,1,2017-07-01,2017,7,1,26,3,Été,144,Guangzhou,Guangzhou,Guangdong,China,CHN,Asia,23.12,113.32,26940000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,47.235,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
38,913,6,1,1,2018-07-01,2018,7,1,26,3,Été,144,Guangzhou,Guangzhou,Guangdong,China,CHN,Asia,23.12,113.32,26940000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,28.454,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
39,1278,6,1,1,2019-07-01,2019,7,1,27,3,Été,144,Guangzhou,Guangzhou,Guangdong,China,CHN,Asia,23.12,113.32,26940000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,30.029,37.5476,10342.901,62.7099,14.3,0.0,1407745000.0,,64.9687,8.3915
40,1644,6,1,1,2020-07-01,2020,7,1,27,3,Été,144,Guangzhou,Guangzhou,Guangdong,China,CHN,Asia,23.12,113.32,26940000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,35.828,34.8105,10627.4638,63.5234,14.9,0.0,1411100000.0,,63.455,8.4786
41,2009,6,1,1,2021-07-01,2021,7,1,26,3,Été,144,Guangzhou,Guangzhou,Guangdong,China,CHN,Asia,23.12,113.32,26940000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,35.656,,12887.4357,64.7211,15.2,0.0,1412360000.0,,63.001,8.8872
42,2374,6,1,1,2022-07-01,2022,7,1,26,3,Été,144,Guangzhou,Guangzhou,Guangdong,China,CHN,Asia,23.12,113.32,26940000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,30.258,,12970.6056,65.2176,,0.0,1412175000.0,,61.7187,8.8648
43,2739,6,1,1,2023-07-01,2023,7,1,26,3,Été,144,Guangzhou,Guangzhou,Guangdong,China,CHN,Asia,23.12,113.32,26940000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,27.318,,12951.1782,65.5301,,0.0,1410710000.0,,61.3408,9.2303
44,548,7,6,1,2017-07-01,2017,7,1,26,3,Été,5921,Anqing Lian Fu Hua Yuan,Anqing,Anhui,China,CHN,Asia,30.5489,117.04859999999998,4165284.0,CO,Monoxyde de carbone,Gaz,mg/m³,Toxique : réduit le transport d'oxygène dans le sang.,349.851,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
45,913,7,6,1,2018-07-01,2018,7,1,26,3,Été,5921,Anqing Lian Fu Hua Yuan,Anqing,Anhui,China,CHN,Asia,30.5489,117.04859999999998,4165284.0,CO,Monoxyde de carbone,Gaz,mg/m³,Toxique : réduit le transport d'oxygène dans le sang.,250.899,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
46,548,7,3,1,2017-07-01,2017,7,1,26,3,Été,5921,Anqing Lian Fu Hua Yuan,Anqing,Anhui,China,CHN,Asia,30.5489,117.04859999999998,4165284.0,NO2,Dioxyde d'azote,Gaz,µg/m³,Émis par le trafic et l'industrie. Inflammation bronchique et risque d'infections.,26.556,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
47,913,7,3,1,2018-07-01,2018,7,1,26,3,Été,5921,Anqing Lian Fu Hua Yuan,Anqing,Anhui,China,CHN,Asia,30.5489,117.04859999999998,4165284.0,NO2,Dioxyde d'azote,Gaz,µg/m³,Émis par le trafic et l'industrie. Inflammation bronchique et risque d'infections.,24.385,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
48,548,7,4,1,2017-07-01,2017,7,1,26,3,Été,5921,Anqing Lian Fu Hua Yuan,Anqing,Anhui,China,CHN,Asia,30.5489,117.04859999999998,4165284.0,O3,Ozone troposphérique,Gaz,µg/m³,Formé par réaction photochimique. Réduction de la fonction pulmonaire.,47.756,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
49,913,7,4,1,2018-07-01,2018,7,1,26,3,Été,5921,Anqing Lian Fu Hua Yuan,Anqing,Anhui,China,CHN,Asia,30.5489,117.04859999999998,4165284.0,O3,Ozone troposphérique,Gaz,µg/m³,Formé par réaction photochimique. Réduction de la fonction pulmonaire.,38.139,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
50,548,7,2,1,2017-07-01,2017,7,1,26,3,Été,5921,Anqing Lian Fu Hua Yuan,Anqing,Anhui,China,CHN,Asia,30.5489,117.04859999999998,4165284.0,PM10,Particules PM10,Particules,µg/m³,Irritation des voies respiratoires supérieures. Aggravation de l'asthme.,53.901,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
51,913,7,2,1,2018-07-01,2018,7,1,26,3,Été,5921,Anqing Lian Fu Hua Yuan,Anqing,Anhui,China,CHN,Asia,30.5489,117.04859999999998,4165284.0,PM10,Particules PM10,Particules,µg/m³,Irritation des voies respiratoires supérieures. Aggravation de l'asthme.,67.615,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
52,548,7,1,1,2017-07-01,2017,7,1,26,3,Été,5921,Anqing Lian Fu Hua Yuan,Anqing,Anhui,China,CHN,Asia,30.5489,117.04859999999998,4165284.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,43.154,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
53,913,7,1,1,2018-07-01,2018,7,1,26,3,Été,5921,Anqing Lian Fu Hua Yuan,Anqing,Anhui,China,CHN,Asia,30.5489,117.04859999999998,4165284.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,36.208,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
54,548,7,5,1,2017-07-01,2017,7,1,26,3,Été,5921,Anqing Lian Fu Hua Yuan,Anqing,Anhui,China,CHN,Asia,30.5489,117.04859999999998,4165284.0,SO2,Dioxyde de soufre,Gaz,µg/m³,"Émis par combustion de charbon. Pluies acides, toux, dyspnée.",20.001,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
55,913,7,5,1,2018-07-01,2018,7,1,26,3,Été,5921,Anqing Lian Fu Hua Yuan,Anqing,Anhui,China,CHN,Asia,30.5489,117.04859999999998,4165284.0,SO2,Dioxyde de soufre,Gaz,µg/m³,"Émis par combustion de charbon. Pluies acides, toux, dyspnée.",18.613,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
56,548,8,6,1,2017-07-01,2017,7,1,26,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,CO,Monoxyde de carbone,Gaz,mg/m³,Toxique : réduit le transport d'oxygène dans le sang.,417.583,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
57,913,8,6,1,2018-07-01,2018,7,1,26,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,CO,Monoxyde de carbone,Gaz,mg/m³,Toxique : réduit le transport d'oxygène dans le sang.,281.815,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
58,1278,8,6,1,2019-07-01,2019,7,1,27,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,CO,Monoxyde de carbone,Gaz,mg/m³,Toxique : réduit le transport d'oxygène dans le sang.,286.085,37.5476,10342.901,62.7099,14.3,0.0,1407745000.0,,64.9687,8.3915
59,1644,8,6,1,2020-07-01,2020,7,1,27,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,CO,Monoxyde de carbone,Gaz,mg/m³,Toxique : réduit le transport d'oxygène dans le sang.,292.234,34.8105,10627.4638,63.5234,14.9,0.0,1411100000.0,,63.455,8.4786
60,548,8,3,1,2017-07-01,2017,7,1,26,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,NO2,Dioxyde d'azote,Gaz,µg/m³,Émis par le trafic et l'industrie. Inflammation bronchique et risque d'infections.,34.126,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
61,913,8,3,1,2018-07-01,2018,7,1,26,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,NO2,Dioxyde d'azote,Gaz,µg/m³,Émis par le trafic et l'industrie. Inflammation bronchique et risque d'infections.,24.312,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
62,1278,8,3,1,2019-07-01,2019,7,1,27,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,NO2,Dioxyde d'azote,Gaz,µg/m³,Émis par le trafic et l'industrie. Inflammation bronchique et risque d'infections.,23.696,37.5476,10342.901,62.7099,14.3,0.0,1407745000.0,,64.9687,8.3915
63,1644,8,3,1,2020-07-01,2020,7,1,27,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,NO2,Dioxyde d'azote,Gaz,µg/m³,Émis par le trafic et l'industrie. Inflammation bronchique et risque d'infections.,18.866,34.8105,10627.4638,63.5234,14.9,0.0,1411100000.0,,63.455,8.4786
64,548,8,4,1,2017-07-01,2017,7,1,26,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,O3,Ozone troposphérique,Gaz,µg/m³,Formé par réaction photochimique. Réduction de la fonction pulmonaire.,33.824,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
65,913,8,4,1,2018-07-01,2018,7,1,26,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,O3,Ozone troposphérique,Gaz,µg/m³,Formé par réaction photochimique. Réduction de la fonction pulmonaire.,40.691,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
66,1278,8,4,1,2019-07-01,2019,7,1,27,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,O3,Ozone troposphérique,Gaz,µg/m³,Formé par réaction photochimique. Réduction de la fonction pulmonaire.,40.616,37.5476,10342.901,62.7099,14.3,0.0,1407745000.0,,64.9687,8.3915
67,1644,8,4,1,2020-07-01,2020,7,1,27,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,O3,Ozone troposphérique,Gaz,µg/m³,Formé par réaction photochimique. Réduction de la fonction pulmonaire.,30.982,34.8105,10627.4638,63.5234,14.9,0.0,1411100000.0,,63.455,8.4786
68,548,8,2,1,2017-07-01,2017,7,1,26,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,PM10,Particules PM10,Particules,µg/m³,Irritation des voies respiratoires supérieures. Aggravation de l'asthme.,84.311,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
69,913,8,2,1,2018-07-01,2018,7,1,26,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,PM10,Particules PM10,Particules,µg/m³,Irritation des voies respiratoires supérieures. Aggravation de l'asthme.,67.978,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
70,1278,8,2,1,2019-07-01,2019,7,1,27,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,PM10,Particules PM10,Particules,µg/m³,Irritation des voies respiratoires supérieures. Aggravation de l'asthme.,54.194,37.5476,10342.901,62.7099,14.3,0.0,1407745000.0,,64.9687,8.3915
71,1644,8,2,1,2020-07-01,2020,7,1,27,3,Été,5943,济民医院(对照点),Wuhu,Anhui,China,CHN,Asia,31.3839,118.4022,3644420.0,PM10,Particules PM10,Particules,µg/m³,Irritation des voies respiratoires supérieures. Aggravation de l'asthme.,58.698,34.8105,10627.4638,63.5234,14.9,0.0,1411100000.0,,63.455,8.4786
